Address,Award,Comments,Cuisine,FacilitiesAndServices,Hour,Location,Name,PhoneNumber,Price,Url,WebsiteUrl,_id,coord
"Paseo del Padre Orcolaga 56, Donostia / San Sebastián, 20008, Spain",4,3998555,"Creative, Traditional Cuisine","Air conditioning,American Express credit card,Car park,Credit card / Debit card accepted,Diners Club credit card,Great view,Mastercard credit card,Particularly interesting wine list,Visa credit card,Wheelchair access",17,"Donostia / San Sebastián, Spain",Akelaŕe,+34943311209,€€€€,https://guide.michelin.com/en/pais-vasco/es-donostia-san-sebastian/restaurant/akelare,https://akelarre.net/,63da3c3e3edd49a903f1625b,"[-2.0731493,43.3027805]"
"Plaza San Mateo 1, Cáceres, 10003, Spain",4,6043602,Creative,"Air conditioning,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Terrace,Visa credit card,Wheelchair access",1,"Cáceres, Spain",Atrio,+34927242928,€€€€,https://guide.michelin.com/en/extremadura/cceres/restaurant/atrio,https://restauranteatrio.com/,63da3c3e3edd49a903f1625c,"[-6.3713456,39.4730183]"
"Rascassa 1, Dénia, 03700, Spain",2,2064806,Creative,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Visa credit card",5,"Dénia, Spain",Quique Dacosta,+34965784179,€€€€,https://guide.michelin.com/en/comunidad-valenciana/dnia/restaurant/quique-dacosta,https://www.quiquedacosta.es/,63da3c3e3edd49a903f1625d,"[0.0852209,38.8537884]"
"Francisco Cossi Ochoa, El Puerto de Santa María, 11500, Spain",2,6210372,"Creative, Innovative","Air conditioning,American Express credit card,Car park,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Particularly interesting wine list,Visa credit card,Wheelchair access",9,"El Puerto de Santa María, Spain",Aponiente,+34606225859,€€€€,https://guide.michelin.com/en/andalucia/el-puerto-de-santa-maria/restaurant/aponiente,https://www.aponiente.com/,63da3c3e3edd49a903f1625e,"[-6.2164435,36.6033273]"
"Padre Damián 23, Madrid, 28036, Spain",1,1927015,Creative,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Visa credit card",10,"Madrid, Spain",DiverXO,+34915700766,€€€€,https://guide.michelin.com/en/comunidad-de-madrid/madrid/restaurant/diverxo,https://diverxo.com/,63da3c3e3edd49a903f1625f,"[-3.6856715,40.4582913]"
"Loidi 4, Lasarte - Oria, 20160, Spain",4,6234208,Creative,"Air conditioning,American Express credit card,Car park,Credit card / Debit card accepted,Diners Club credit card,Great view,Mastercard credit card,Particularly interesting wine list,Terrace,Visa credit card",0,"Lasarte - Oria, Spain",Martín Berasategui,+34943366471,€€€€,https://guide.michelin.com/en/pais-vasco/lasarte-oria/restaurant/martin-berasategui,http://www.martinberasategui.com/es/inicio,63da3c3e3edd49a903f16260,"[-2.0152402,43.2664755]"
"Legina Auzoa, Larrabetzu, 48195, Spain",3,8566416,Creative,"Air conditioning,American Express credit card,Car park,Credit card / Debit card accepted,Diners Club credit card,Great view,Mastercard credit card,Particularly interesting wine list,Visa credit card,Wheelchair access",8,"Larrabetzu, Spain",Azurmendi,+34944558359,€€€€,https://guide.michelin.com/en/pais-vasco/larrabetzu/restaurant/azurmendi,http://www.azurmendi.restaurant,63da3c3e3edd49a903f16261,"[-2.81454,43.26065]"
"Can Sunyer 48, Girona, 17007, Spain",0,6891656,Creative,"Air conditioning,American Express credit card,Car park,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Particularly interesting wine list,Visa credit card,Wheelchair access",8,"Girona, Spain",El Celler de Can Roca,+34972222157,€€€€,https://guide.michelin.com/en/catalunya/girona/restaurant/el-celler-de-can-roca,http://www.cellercanroca.com,63da3c3e3edd49a903f16262,"[2.807927,41.9932026]"
"Plaza del Sol, Villaverde de Pontones, 39793, Spain",2,7335323,Modern Cuisine,"Air conditioning,American Express credit card,Car park,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Visa credit card",17,"Villaverde de Pontones, Spain",Cenador de Amós,+34942508243,€€€€,https://guide.michelin.com/en/cantabria/villaverde-de-pontones/restaurant/cenador-de-amos,https://www.cenadordeamos.com/,63da3c3e3edd49a903f16263,"[-3.6988243,43.4124884]"
"Avenida Alcalde José Elosegi 273, Donostia / San Sebastián, 20015, Spain",3,8452552,"Creative, Traditional Cuisine","Air conditioning,American Express credit card,Car park,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Particularly interesting wine list,Visa credit card,Wheelchair access",0,"Donostia / San Sebastián, Spain",Arzak,+34943278465,€€€€,https://guide.michelin.com/en/pais-vasco/es-donostia-san-sebastian/restaurant/arzak,http://www.arzak.es,63da3c3e3edd49a903f16264,"[-1.9490932,43.3214016]"
"7-5-5 Ginza, Chuo-ku, Tokyo, 104-0061, Japan",4,6320916,French,"Air conditioning,American Express credit card,Car park,Credit card / Debit card accepted,Diners Club credit card,JCB,Mastercard credit card,Particularly interesting wine list,Visa credit card",10,"Tokyo, Japan","L'OSIER",+81335716050,¥¥¥¥,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/l-osier,https://losier.shiseido.co.jp/,63da3c3e3edd49a903f16265,"[139.761233,35.6696524]"
"1F, Garden City Shinagawa Gotenyama, 6-7-29 Kitashinagawa, Shinagawa-ku, Tokyo, 141-0001, Japan",1,2614804,French,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Diners Club credit card,JCB,Mastercard credit card,Particularly interesting wine list,Visa credit card,Wheelchair access",12,"Tokyo, Japan",Quintessence,+81362770090,¥¥¥¥,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/quintessence-1193907,https://www.quintessence.jp/,63da3c3e3edd49a903f16266,"[139.7329477,35.6240721]"
